id,set_id,worker_id,description,first,second,third,first_addr,second_addr,third_addr
64,2,9,CATS CATS CATS,9,5,6,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat5.jpg,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat1.jpg,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat2.jpg
65,23,10,Which is the hottest pic of our hottest prez?,87,88,89,https://s3.amazonaws.com/popop-uploads/ab23e330b79c437eb4eec05b6fe2056f.jpeg,https://s3.amazonaws.com/popop-uploads/cc6466cb42af4b4e8463e515bf1cf50d.jpeg,https://s3.amazonaws.com/popop-uploads/5f8d518cd1f4496ca26f6d2175a7254b.jpeg
66,11,9,Favorite phone,48,47,46,https://s3.amazonaws.com/popop-uploads/9a9e2e38bd8f4d90a8fe1f1e5b2f44b3.jpeg,https://s3.amazonaws.com/popop-uploads/6fc233a9d94e4bf791c3fa75613007c0.jpeg,https://s3.amazonaws.com/popop-uploads/cff59ad1931c495d985878c84a405f84.jpeg
67,32,9,I want my photos to be sorted by most exciting to least exciting,136,135,134,https://s3.amazonaws.com/popop-uploads/764905dbfdd9460caaaf4b378603f59e.jpeg,https://s3.amazonaws.com/popop-uploads/22b30763181049d5a3eda22e8ba60f3a.jpeg,https://s3.amazonaws.com/popop-uploads/42e7cd55a2104dcda4767bd1937e252f.jpeg
68,27,10,Which Harry Potter book is the best?,102,104,99,https://s3.amazonaws.com/popop-uploads/748ecddaeec54a6f8f9b9034b7b2bd81.jpeg,https://s3.amazonaws.com/popop-uploads/9e42a66b022f4df19a4844637d845e51.jpeg,https://s3.amazonaws.com/popop-uploads/99a1f6cb24394bb2a33cc89045e6829f.jpeg
69,18,7,What is the prettiest sunset?,72,74,73,https://s3.amazonaws.com/popop-uploads/3cbaaf0500e942f7a0b6239097e84b84.jpeg,https://s3.amazonaws.com/popop-uploads/51e5fdd893854fba9076201e15923b6d.jpeg,https://s3.amazonaws.com/popop-uploads/8601c46a463b45f8ad19d59083859875.jpeg
70,28,9,Which social media platforms are the most helpful for everyday life?,115,107,106,https://s3.amazonaws.com/popop-uploads/49a53e034b7e40319b059298f226599b.png,https://s3.amazonaws.com/popop-uploads/b60f6d4ba0a7478f89279e4eac2b7404.png,https://s3.amazonaws.com/popop-uploads/9cbb78076835447ab8fdac769787591c.png
71,19,10,What is the healthiest?,76,75,77,https://s3.amazonaws.com/popop-uploads/2ac818d12c3d45e0a1b3d601bb3785e5.jpeg,https://s3.amazonaws.com/popop-uploads/e2d2124a4da94f838a4bf147666ffd1a.jpeg,https://s3.amazonaws.com/popop-uploads/87cf0eda15cc4812934dffacd8093dc4.jpeg
72,32,9,I want my photos to be sorted by most exciting to least exciting,134,135,136,https://s3.amazonaws.com/popop-uploads/42e7cd55a2104dcda4767bd1937e252f.jpeg,https://s3.amazonaws.com/popop-uploads/22b30763181049d5a3eda22e8ba60f3a.jpeg,https://s3.amazonaws.com/popop-uploads/764905dbfdd9460caaaf4b378603f59e.jpeg
73,22,7,Which puppy is the cutest?,86,84,85,https://s3.amazonaws.com/popop-uploads/fbd1cae224524674b2741a87e31e563f.jpeg,https://s3.amazonaws.com/popop-uploads/172d15eacb9c441697c26c8954e52967.jpeg,https://s3.amazonaws.com/popop-uploads/851d19b3f48e4a82b1dfc5060a11b384.jpeg
74,34,10,Best minimalist wallpaper,143,142,140,https://s3.amazonaws.com/popop-uploads/773708279ddd4ad18581037bbeac3524.png,https://s3.amazonaws.com/popop-uploads/122c651f6e614e95a4aa3b2d4e486064.png,https://s3.amazonaws.com/popop-uploads/6a8005b96e0a41149afd044082c56e8b.png
75,17,9,What is Jennifer Aniston's best look?,70,71,69,https://s3.amazonaws.com/popop-uploads/a2268db5692d45a7aee660361dfa9e5b.jpeg,https://s3.amazonaws.com/popop-uploads/81ba4a8173a84691b707e0d3ae7eb02e.jpeg,https://s3.amazonaws.com/popop-uploads/468e62d721ba482ea1cfacc394aaaf3b.jpeg
76,22,9,Which puppy is the cutest?,85,84,86,https://s3.amazonaws.com/popop-uploads/851d19b3f48e4a82b1dfc5060a11b384.jpeg,https://s3.amazonaws.com/popop-uploads/172d15eacb9c441697c26c8954e52967.jpeg,https://s3.amazonaws.com/popop-uploads/fbd1cae224524674b2741a87e31e563f.jpeg
77,28,9,Which social media platforms are the most helpful for everyday life?,106,111,112,https://s3.amazonaws.com/popop-uploads/9cbb78076835447ab8fdac769787591c.png,https://s3.amazonaws.com/popop-uploads/25f1fc382b284e32bf8f3ee6cdef5dad.png,https://s3.amazonaws.com/popop-uploads/9b7d5566c86847aeaf8720021c7bb842.png
78,27,9,Which Harry Potter book is the best?,102,103,99,https://s3.amazonaws.com/popop-uploads/748ecddaeec54a6f8f9b9034b7b2bd81.jpeg,https://s3.amazonaws.com/popop-uploads/75d1f30dc2294db4b99e5ed663cda982.jpeg,https://s3.amazonaws.com/popop-uploads/99a1f6cb24394bb2a33cc89045e6829f.jpeg
79,5,4,best art,20,19,21,https://s3.amazonaws.com/popop-uploads/2b61b13192064ab1bcfbf716c0c08737.jpeg,https://s3.amazonaws.com/popop-uploads/04e96ff64e9247178f3472f47bc9ee33.jpeg,https://s3.amazonaws.com/popop-uploads/9dd63d6af0de4b9dbf3e01677bf5c0c1.jpeg
